"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2017","10,165.20","10,167.20","10,213.20","10,138.80","96.22M","-0.16%"
"Dec 22, 2017","10,182.00","10,145.60","10,235.80","10,138.30","138.51M","-1.19%"
"Dec 21, 2017","10,304.60","10,192.60","10,322.60","10,144.40","152.66M","0.95%"
"Dec 20, 2017","10,207.70","10,242.00","10,246.50","10,140.50","129.67M","-0.26%"
"Dec 19, 2017","10,234.30","10,239.00","10,283.50","10,228.40","116.42M","-0.10%"
"Dec 18, 2017","10,244.10","10,197.90","10,257.80","10,188.10","178.89M","0.92%"
"Dec 15, 2017","10,150.40","10,156.70","10,212.30","10,113.80","321.60M","-0.26%"
"Dec 14, 2017","10,176.50","10,250.00","10,293.10","10,176.50","170.19M","-0.82%"
"Dec 13, 2017","10,260.50","10,300.20","10,355.00","10,260.50","132.94M","-0.27%"
"Dec 12, 2017","10,288.30","10,319.60","10,326.20","10,248.10","160.15M","-0.18%"
"Dec 11, 2017","10,306.90","10,339.30","10,348.80","10,285.10","141.87M","-0.14%"
"Dec 08, 2017","10,321.10","10,322.50","10,380.30","10,316.50","161.04M","0.57%"
"Dec 07, 2017","10,262.60","10,195.80","10,271.20","10,171.30","129.94M","0.77%"
"Dec 06, 2017","10,184.00","10,156.40","10,201.80","10,098.10","146.63M","-0.27%"
"Dec 05, 2017","10,211.30","10,204.60","10,246.10","10,162.30","132.39M","0.03%"
"Dec 04, 2017","10,208.60","10,182.80","10,248.40","10,127.60","143.88M","1.23%"
"Dec 01, 2017","10,085.00","10,225.50","10,225.50","10,083.80","183.51M","-1.23%"
"Nov 30, 2017","10,211.00","10,266.60","10,323.10","10,211.00","270.74M","-0.55%"
"Nov 29, 2017","10,267.70","10,221.80","10,314.20","10,211.10","216.02M","1.22%"
"Nov 28, 2017","10,144.40","10,083.80","10,148.80","10,059.50","117.47M","0.81%"
"Nov 27, 2017","10,063.10","10,027.40","10,136.60","10,014.40","114.37M","0.10%"
"Nov 24, 2017","10,053.50","10,044.90","10,125.40","10,036.60","111.15M","0.21%"
"Nov 23, 2017","10,032.80","9,994.10","10,079.20","9,983.20","118.61M","0.19%"
"Nov 22, 2017","10,013.90","10,010.20","10,092.40","10,005.80","124.90M","0.21%"
